season,celebrity,week,FanVote%
12,Wendy Williams,1,4.72
12,Wendy Williams,2,4.41
12,Wendy Williams,3,4.06
13,Carson Kressley,1,8.39
13,Carson Kressley,2,8.23
13,Carson Kressley,3,7.86
13,Carson Kressley,4,7.54
13,Carson Kressley,5,6.97
13,Chaz Bono,1,15.01
13,Chaz Bono,2,15.28
13,Chaz Bono,3,15.16
13,Chaz Bono,4,13.67
13,Chaz Bono,5,12.31
13,Chaz Bono,6,11.31
13,Chynna Phillips,1,1.67
13,Chynna Phillips,2,1.48
13,Chynna Phillips,3,1.29
13,Chynna Phillips,4,1.13
13,David Arquette,1,5.35
13,David Arquette,2,5.1
13,David Arquette,3,4.65
13,David Arquette,4,4.26
13,David Arquette,5,3.91
13,David Arquette,6,3.75
13,David Arquette,7,3.59
13,Elisabetta Canalis,1,0.35
13,Elisabetta Canalis,2,0.25
13,Hope Solo,1,15.95
13,Hope Solo,2,16.32
13,Hope Solo,3,16.74
13,Hope Solo,4,17.46
13,Hope Solo,5,18.49
13,Hope Solo,6,20.62
13,Hope Solo,7,22.84
13,Hope Solo,8,23.38
13,Hope Solo,9,28.4
13,J.R. Martinez,1,12.6
13,J.R. Martinez,2,12.65
13,J.R. Martinez,3,12.97
13,J.R. Martinez,4,13.45
13,J.R. Martinez,5,14.29
13,J.R. Martinez,6,15.93
13,J.R. Martinez,7,18.81
13,J.R. Martinez,8,20.03
13,J.R. Martinez,9,25.91
13,J.R. Martinez,10,35.99
13,Kristin Cavallari,1,0.5
13,Kristin Cavallari,2,0.41
13,Kristin Cavallari,3,0.32
13,Metta World Peace (Ron),1,0.52
13,Nancy Grace,1,15.57
13,Nancy Grace,2,15.96
13,Nancy Grace,3,16.39
13,Nancy Grace,4,16.86
13,Nancy Grace,5,17.21
13,Nancy Grace,6,18.52
13,Nancy Grace,7,20.59
13,Nancy Grace,8,20.02
13,Ricki Lake,1,9.71
13,Ricki Lake,2,9.56
13,Ricki Lake,3,9.68
13,Ricki Lake,4,9.85
13,Ricki Lake,5,10.35
13,Ricki Lake,6,11.26
13,Ricki Lake,7,13.05
13,Ricki Lake,8,13.84
13,Ricki Lake,9,17.49
13,Ricki Lake,10,24.21
13,Rob Kardashian,1,14.37
13,Rob Kardashian,2,14.74
13,Rob Kardashian,3,14.94
13,Rob Kardashian,4,15.77
13,Rob Kardashian,5,16.47
13,Rob Kardashian,6,18.61
13,Rob Kardashian,7,21.12
13,Rob Kardashian,8,22.74
13,Rob Kardashian,9,28.2
13,Rob Kardashian,10,39.79
14,Donald Driver,1,20.47
14,Donald Driver,2,21.12
14,Donald Driver,3,22.22
14,Donald Driver,4,22.97
14,Donald Driver,5,23.92
14,Donald Driver,6,25.66
14,Donald Driver,7,28.64
14,Donald Driver,8,29.49
14,Donald Driver,9,32.23
14,Donald Driver,10,33.67
14,Gavin DeGraw,1,5.12
14,Gavin DeGraw,2,4.84
14,Gavin DeGraw,3,4.66
14,Gavin DeGraw,4,4.33
14,Gavin DeGraw,5,4.01
14,Gladys Knight,1,10.53
14,Gladys Knight,2,10.42
14,Gladys Knight,3,10.44
14,Gladys Knight,4,10.18
14,Gladys Knight,5,9.49
14,Gladys Knight,6,9.06
14,Jack Wagner,1,0.61
14,Jack Wagner,2,0.5
14,Jack Wagner,3,0.42
14,Jaleel White,1,1.67
14,Jaleel White,2,1.47
14,Jaleel White,3,1.32
14,Jaleel White,4,1.14
14,Jaleel White,5,0.93
14,Jaleel White,6,0.77
14,Jaleel White,7,0.67
14,Katherine Jenkins,1,23.68
14,Katherine Jenkins,2,24.61
14,Katherine Jenkins,3,26.18
14,Katherine Jenkins,4,27.27
14,Katherine Jenkins,5,28.74
14,Katherine Jenkins,6,31.01
14,Katherine Jenkins,7,35.07
14,Katherine Jenkins,8,36.37
14,Katherine Jenkins,9,40.46
14,Katherine Jenkins,10,42.09
14,Maria Menounos,1,5.92
14,Maria Menounos,2,5.58
14,Maria Menounos,3,5.5
14,Maria Menounos,4,5.19
14,Maria Menounos,5,5.06
14,Maria Menounos,6,4.95
14,Maria Menounos,7,5.18
14,Maria Menounos,8,4.87
14,Maria Menounos,9,4.11
14,Martina Navratilova,1,2.72
14,Martina Navratilova,2,2.48
14,Melissa Gilbert,1,8.85
14,Melissa Gilbert,2,8.67
14,Melissa Gilbert,3,8.62
14,Melissa Gilbert,4,8.35
14,Melissa Gilbert,5,8.04
14,Melissa Gilbert,6,7.87
14,Melissa Gilbert,7,7.99
14,Melissa Gilbert,8,6.82
14,Roshon Fegan,1,2.3
14,Roshon Fegan,2,2.07
14,Roshon Fegan,3,1.9
14,Roshon Fegan,4,1.68
14,Roshon Fegan,5,1.5
14,Roshon Fegan,6,1.37
14,Roshon Fegan,7,1.28
14,Roshon Fegan,8,1.04
14,Sherri Sheperd,1,1.54
14,Sherri Sheperd,2,1.35
14,Sherri Sheperd,3,1.21
14,Sherri Sheperd,4,1.0
14,William Levy,1,16.58
14,William Levy,2,16.88
14,William Levy,3,17.53
14,William Levy,4,17.9
14,William Levy,5,18.31
14,William Levy,6,19.3
14,William Levy,7,21.17
14,William Levy,8,21.4
14,William Levy,9,23.21
14,William Levy,10,24.24
15,Apolo Anton Ohno,1,7.29
15,Apolo Anton Ohno,2,7.04
15,Apolo Anton Ohno,3,6.79
15,Apolo Anton Ohno,4,6.51
15,Apolo Anton Ohno,5,6.21
15,Apolo Anton Ohno,6,5.76
15,Apolo Anton Ohno,7,5.36
15,Apolo Anton Ohno,8,4.93
15,Apolo Anton Ohno,9,4.51
15,Bristol Palin,1,3.76
15,Bristol Palin,2,3.46
15,Bristol Palin,3,2.95
15,Bristol Palin,4,2.22
15,Drew Lachey,1,0.77
15,Drew Lachey,2,0.64
15,Drew Lachey,3,0.5
15,Emmitt Smith,1,9.91
15,Emmitt Smith,2,9.85
15,Emmitt Smith,3,9.63
15,Emmitt Smith,4,9.49
15,Emmitt Smith,5,9.3
15,Emmitt Smith,6,9.02
15,Emmitt Smith,7,8.32
15,Emmitt Smith,8,7.72
15,Emmitt Smith,9,7.22
15,Gilles Marini,1,3.56
15,Gilles Marini,2,3.27
15,Gilles Marini,3,3.03
15,Gilles Marini,4,2.7
15,Gilles Marini,5,2.46
15,Gilles Marini,6,2.16
15,Gilles Marini,7,1.76
15,Gilles Marini,8,1.42
15,Helio Castroneves,1,0.53
15,Helio Castroneves,2,0.42
15,Helio Castroneves,3,0.32
15,Joey Fatone,1,0.25
15,Joey Fatone,2,0.18
15,Kelly Monaco,1,25.37
15,Kelly Monaco,2,26.5
15,Kelly Monaco,3,27.68
15,Kelly Monaco,4,29.24
15,Kelly Monaco,5,31.43
15,Kelly Monaco,6,32.82
15,Kelly Monaco,7,34.53
15,Kelly Monaco,8,35.94
15,Kelly Monaco,9,39.98
15,Kelly Monaco,10,45.29
15,Kirstie Alley,1,10.4
15,Kirstie Alley,2,10.23
15,Kirstie Alley,3,10.01
15,Kirstie Alley,4,9.66
15,Kirstie Alley,5,8.65
15,Kirstie Alley,6,7.53
15,Kirstie Alley,7,6.43
15,Kirstie Alley,8,5.42
15,Melissa Rycroft,1,17.35
15,Melissa Rycroft,2,17.72
15,Melissa Rycroft,3,18.05
15,Melissa Rycroft,4,18.63
15,Melissa Rycroft,5,19.47
15,Melissa Rycroft,6,19.84
15,Melissa Rycroft,7,20.44
15,Melissa Rycroft,8,20.88
15,Melissa Rycroft,9,22.87
15,Melissa Rycroft,10,25.92
15,Pamela Anderson,1,0.44
15,Sabrina Bryan,1,1.44
15,Sabrina Bryan,2,1.26
15,Sabrina Bryan,3,1.09
15,Sabrina Bryan,4,0.87
15,Sabrina Bryan,5,0.64
15,Sabrina Bryan,6,0.46
15,Shawn Johnson,1,18.94
15,Shawn Johnson,2,19.42
15,Shawn Johnson,3,19.95
15,Shawn Johnson,4,20.68
15,Shawn Johnson,5,21.83
15,Shawn Johnson,6,22.39
15,Shawn Johnson,7,23.16
15,Shawn Johnson,8,23.7
15,Shawn Johnson,9,25.41
15,Shawn Johnson,10,28.78
16,Alexandra Raisman,1,0.15
16,Alexandra Raisman,2,0.18
16,Alexandra Raisman,3,0.23
16,Alexandra Raisman,4,0.29
16,Alexandra Raisman,5,0.37
16,Alexandra Raisman,6,0.48
16,Alexandra Raisman,7,0.58
16,Alexandra Raisman,8,1.13
16,Alexandra Raisman,9,1.45
16,Alexandra Raisman,10,1.65
16,Andy Dick,1,23.83
16,Andy Dick,2,25.73
16,Andy Dick,3,28.34
16,Andy Dick,4,31.84
16,Andy Dick,5,35.01
16,Andy Dick,6,39.67
16,Andy Dick,7,42.64
16,D. L. Hughley,1,18.53
16,D. L. Hughley,2,16.37
16,D. L. Hughley,3,14.59
16,D. L. Hughley,4,12.82
16,D. L. Hughley,5,11.02
16,Dorothy Hamill,1,2.38
16,Dorothy Hamill,2,2.25
16,Ingo Rademacher,1,6.05
16,Ingo Rademacher,2,6.07
16,Ingo Rademacher,3,6.2
16,Ingo Rademacher,4,6.47
16,Ingo Rademacher,5,6.61
16,Ingo Rademacher,6,7.09
16,Ingo Rademacher,7,7.13
16,Ingo Rademacher,8,11.5
16,Ingo Rademacher,9,12.07
16,Jacoby Jones,1,9.83
16,Jacoby Jones,2,10.22
16,Jacoby Jones,3,10.82
16,Jacoby Jones,4,11.77
16,Jacoby Jones,5,12.52
16,Jacoby Jones,6,14.6
16,Jacoby Jones,7,16.04
16,Jacoby Jones,8,28.46
16,Jacoby Jones,9,33.75
16,Jacoby Jones,10,38.41
16,Kellie Pickler,1,7.31
16,Kellie Pickler,2,7.47
16,Kellie Pickler,3,7.8
16,Kellie Pickler,4,8.33
16,Kellie Pickler,5,8.75
16,Kellie Pickler,6,10.03
16,Kellie Pickler,7,11.07
16,Kellie Pickler,8,19.68
16,Kellie Pickler,9,23.48
16,Kellie Pickler,10,26.69
16,Lisa Vanderpump,1,3.71
16,Lisa Vanderpump,2,3.43
16,Lisa Vanderpump,3,3.18
16,Lisa Vanderpump,4,3.01
16,Sean Lowe,1,7.3
16,Sean Lowe,2,7.35
16,Sean Lowe,3,7.55
16,Sean Lowe,4,7.92
16,Sean Lowe,5,7.99
16,Sean Lowe,6,8.77
16,Sean Lowe,7,9.08
16,Sean Lowe,8,15.01
16,Victor Ortiz,1,7.55
16,Victor Ortiz,2,7.5
16,Victor Ortiz,3,7.54
16,Victor Ortiz,4,7.77
16,Victor Ortiz,5,7.32
16,Victor Ortiz,6,7.27
16,Wynonna Judd,1,5.1
16,Wynonna Judd,2,4.88
16,Wynonna Judd,3,4.7
16,Zendaya,1,8.27
16,Zendaya,2,8.56
16,Zendaya,3,9.04
16,Zendaya,4,9.79
16,Zendaya,5,10.4
16,Zendaya,6,12.08
16,Zendaya,7,13.47
16,Zendaya,8,24.21
16,Zendaya,9,29.25
16,Zendaya,10,33.25
17,Amber Riley,1,20.82
17,Amber Riley,2,21.92
17,Amber Riley,3,23.25
17,Amber Riley,4,24.84
17,Amber Riley,5,25.72
17,Amber Riley,6,25.93
17,Amber Riley,7,25.84
17,Amber Riley,8,26.02
17,Amber Riley,9,26.26
17,Amber Riley,10,26.57
17,Amber Riley,11,27.5
17,Bill Engvall,1,2.24
17,Bill Engvall,2,3.19
17,Bill Engvall,3,4.39
17,Bill Engvall,4,6.0
17,Bill Engvall,5,7.64
17,Bill Engvall,6,9.12
17,Bill Engvall,7,10.75
17,Bill Engvall,8,12.36
17,Bill Engvall,9,13.6
17,Bill Engvall,10,13.52
17,Bill Engvall,11,12.68
17,Bill Nye,1,8.42
17,Bill Nye,2,6.53
17,Bill Nye,3,4.78
17,Brant Daugherty,1,5.01
17,Brant Daugherty,2,4.57
17,Brant Daugherty,3,4.12
17,Brant Daugherty,4,3.75
17,Brant Daugherty,5,3.1
17,Brant Daugherty,6,2.42
17,Brant Daugherty,7,1.86
17,Brant Daugherty,8,1.36
17,Christina Milian,1,1.73
17,Christina Milian,2,1.37
17,Christina Milian,3,1.05
17,Christina Milian,4,0.79
17,Christina Milian,5,0.53
17,Corbin Bleu,1,19.09
17,Corbin Bleu,2,19.88
17,Corbin Bleu,3,20.88
17,Corbin Bleu,4,22.12
17,Corbin Bleu,5,22.7
17,Corbin Bleu,6,22.77
17,Corbin Bleu,7,22.58
17,Corbin Bleu,8,22.61
17,Corbin Bleu,9,22.77
17,Corbin Bleu,10,23.43
17,Corbin Bleu,11,24.57
17,Elizabeth Berkley Lauren,1,5.52
17,Elizabeth Berkley Lauren,2,5.21
17,Elizabeth Berkley Lauren,3,4.93
17,Elizabeth Berkley Lauren,4,4.65
17,Elizabeth Berkley Lauren,5,4.22
17,Elizabeth Berkley Lauren,6,3.59
17,Elizabeth Berkley Lauren,7,3.02
17,Elizabeth Berkley Lauren,8,2.41
17,Elizabeth Berkley Lauren,9,1.71
17,Jack Osbourne,1,24.73
17,Jack Osbourne,2,26.17
17,Jack Osbourne,3,27.88
17,Jack Osbourne,4,29.88
17,Jack Osbourne,5,30.95
17,Jack Osbourne,6,31.35
17,Jack Osbourne,7,31.36
17,Jack Osbourne,8,31.71
17,Jack Osbourne,9,32.28
17,Jack Osbourne,10,33.45
17,Jack Osbourne,11,35.24
17,Keyshawn Johnson,1,2.56
17,Keyshawn Johnson,2,1.79
17,Leah Remini,1,0.98
17,Leah Remini,2,1.38
17,Leah Remini,3,1.89
17,Leah Remini,4,2.51
17,Leah Remini,5,3.12
17,Leah Remini,6,3.33
17,Leah Remini,7,3.51
17,Leah Remini,8,3.52
17,Leah Remini,9,3.38
17,Leah Remini,10,3.03
17,"Nicole ""Snooki"" Polizzi",1,3.84
17,"Nicole ""Snooki"" Polizzi",2,3.46
17,"Nicole ""Snooki"" Polizzi",3,2.96
17,"Nicole ""Snooki"" Polizzi",4,2.54
17,"Nicole ""Snooki"" Polizzi",5,2.01
17,"Nicole ""Snooki"" Polizzi",6,1.48
17,"Nicole ""Snooki"" Polizzi",7,1.07
17,Valerie Harper,1,5.06
17,Valerie Harper,2,4.53
17,Valerie Harper,3,3.87
17,Valerie Harper,4,2.92
18,Amy Purdy,1,11.76
18,Amy Purdy,2,12.21
18,Amy Purdy,3,14.98
18,Amy Purdy,4,14.96
18,Amy Purdy,5,14.88
18,Amy Purdy,6,14.98
18,Amy Purdy,7,15.71
18,Amy Purdy,8,16.1
18,Amy Purdy,9,16.32
18,Amy Purdy,10,16.82
18,Billy Dee Williams,1,18.84
18,Billy Dee Williams,2,16.64
18,Candace Cameron Bure,1,27.19
18,Candace Cameron Bure,2,29.87
18,Candace Cameron Bure,3,38.4
18,Candace Cameron Bure,4,40.26
18,Candace Cameron Bure,5,41.95
18,Candace Cameron Bure,6,44.32
18,Candace Cameron Bure,7,47.57
18,Candace Cameron Bure,8,50.12
18,Candace Cameron Bure,9,51.48
18,Candace Cameron Bure,10,53.06
18,Charlie White,1,4.43
18,Charlie White,2,4.34
18,Charlie White,3,4.99
18,Charlie White,4,4.68
18,Charlie White,5,4.37
18,Charlie White,6,4.1
18,Charlie White,7,3.9
18,Charlie White,8,3.46
18,Charlie White,9,2.96
18,Cody Simpson,1,2.03
18,Cody Simpson,2,1.78
18,Cody Simpson,3,1.65
18,Cody Simpson,4,1.24
18,Cody Simpson,5,0.93
18,Danica McKellar,1,3.04
18,Danica McKellar,2,2.86
18,Danica McKellar,3,3.11
18,Danica McKellar,4,2.76
18,Danica McKellar,5,2.43
18,Danica McKellar,6,2.17
18,Danica McKellar,7,1.91
18,Danica McKellar,8,1.54
18,Diana Nyad,1,0.85
18,Drew Carey,1,7.89
18,Drew Carey,2,7.77
18,Drew Carey,3,8.62
18,Drew Carey,4,7.79
18,Drew Carey,5,6.99
18,Drew Carey,6,5.25
18,James Maslow,1,1.0
18,James Maslow,2,1.36
18,James Maslow,3,2.11
18,James Maslow,4,2.67
18,James Maslow,5,3.36
18,James Maslow,6,4.29
18,James Maslow,7,5.46
18,James Maslow,8,6.49
18,James Maslow,9,6.92
18,James Maslow,10,7.13
18,Meryl Davis,1,14.39
18,Meryl Davis,2,15.15
18,Meryl Davis,3,18.91
18,Meryl Davis,4,19.23
18,Meryl Davis,5,19.45
18,Meryl Davis,6,19.91
18,Meryl Davis,7,21.27
18,Meryl Davis,8,22.3
18,Meryl Davis,9,22.32
18,Meryl Davis,10,22.99
18,NeNe Leakes,1,6.87
18,NeNe Leakes,2,6.67
18,NeNe Leakes,3,7.25
18,NeNe Leakes,4,6.41
18,NeNe Leakes,5,5.64
18,NeNe Leakes,6,4.98
18,NeNe Leakes,7,4.18
18,Sean Avery,1,1.71
18,Sean Avery,2,1.35
19,Alfonso Ribeiro,1,16.71
19,Alfonso Ribeiro,2,17.75
19,Alfonso Ribeiro,3,18.69
19,Alfonso Ribeiro,4,19.72
19,Alfonso Ribeiro,5,20.67
19,Alfonso Ribeiro,6,21.24
19,Alfonso Ribeiro,7,22.04
19,Alfonso Ribeiro,8,23.29
19,Alfonso Ribeiro,9,25.35
19,Alfonso Ribeiro,10,26.47
19,Alfonso Ribeiro,11,28.46
19,Antonio Sabato Jr.,1,8.05
19,Antonio Sabato Jr.,2,7.3
19,Antonio Sabato Jr.,3,6.49
19,Antonio Sabato Jr.,4,5.66
19,Antonio Sabato Jr.,5,4.66
19,Antonio Sabato Jr.,6,3.77
19,Antonio Sabato Jr.,7,2.78
19,Bethany Mota,1,0.58
19,Bethany Mota,2,0.84
19,Bethany Mota,3,1.13
19,Bethany Mota,4,1.5
19,Bethany Mota,5,1.84
19,Bethany Mota,6,2.22
19,Bethany Mota,7,2.58
19,Bethany Mota,8,2.96
19,Bethany Mota,9,3.42
19,Bethany Mota,10,3.53
19,Bethany Mota,11,3.52
19,Betsey Johnson,1,4.77
19,Betsey Johnson,2,3.4
19,Betsey Johnson,3,2.31
19,Betsey Johnson,4,1.48
19,Janel Parrish,1,19.97
19,Janel Parrish,2,20.92
19,Janel Parrish,3,22.18
19,Janel Parrish,4,23.11
19,Janel Parrish,5,24.47
19,Janel Parrish,6,24.8
19,Janel Parrish,7,25.85
19,Janel Parrish,8,26.79
19,Janel Parrish,9,29.34
19,Janel Parrish,10,30.13
19,Janel Parrish,11,32.73
19,Jonathan Bennett,1,3.78
19,Jonathan Bennett,2,3.35
19,Jonathan Bennett,3,2.85
19,Jonathan Bennett,4,2.36
19,Jonathan Bennett,5,1.67
19,Jonathan Bennett,6,1.15
19,Lea Thompson,1,6.03
19,Lea Thompson,2,5.79
19,Lea Thompson,3,5.49
19,Lea Thompson,4,5.13
19,Lea Thompson,5,4.72
19,Lea Thompson,6,4.27
19,Lea Thompson,7,3.7
19,Lea Thompson,8,3.16
19,Lea Thompson,9,2.53
19,Lolo Jones,1,0.66
19,Michael Waltrip,1,14.66
19,Michael Waltrip,2,14.47
19,Michael Waltrip,3,13.85
19,Michael Waltrip,4,13.1
19,Michael Waltrip,5,11.76
19,Michael Waltrip,6,10.32
19,Michael Waltrip,7,8.88
19,Michael Waltrip,8,7.29
19,Randy Couture,1,2.39
19,Randy Couture,2,2.01
19,Randy Couture,3,1.56
19,Sadie Robertson,1,19.81
19,Sadie Robertson,2,21.24
19,Sadie Robertson,3,22.54
19,Sadie Robertson,4,24.02
19,Sadie Robertson,5,25.38
19,Sadie Robertson,6,26.32
19,Sadie Robertson,7,27.45
19,Sadie Robertson,8,29.05
19,Sadie Robertson,9,31.57
19,Sadie Robertson,10,32.89
19,Sadie Robertson,11,35.3
19,Tavis Smiley,1,1.14
19,Tavis Smiley,2,0.79
19,Tommy Chong,1,1.44
19,Tommy Chong,2,2.12
19,Tommy Chong,3,2.9
19,Tommy Chong,4,3.93
19,Tommy Chong,5,4.85
19,Tommy Chong,6,5.93
19,Tommy Chong,7,6.72
19,Tommy Chong,8,7.46
19,Tommy Chong,9,7.79
19,Tommy Chong,10,6.98
20,Charlotte McKinney,1,0.63
20,Charlotte McKinney,2,0.52
20,Charlotte McKinney,3,0.4
20,Chris Soules,1,8.7
20,Chris Soules,2,8.44
20,Chris Soules,3,8.07
20,Chris Soules,4,7.73
20,Chris Soules,5,7.24
20,Chris Soules,6,6.68
20,Chris Soules,7,6.01
20,Chris Soules,8,5.05
20,Michael Sam,1,0.92
20,Michael Sam,2,0.78
20,Michael Sam,3,0.62
20,Michael Sam,4,0.47
20,Nastia Liukin,1,8.07
20,Nastia Liukin,2,7.77
20,Nastia Liukin,3,7.51
20,Nastia Liukin,4,7.24
20,Nastia Liukin,5,6.98
20,Nastia Liukin,6,6.72
20,Nastia Liukin,7,6.4
20,Nastia Liukin,8,6.0
20,Nastia Liukin,9,5.67
20,Noah Galloway,1,27.34
20,Noah Galloway,2,28.44
20,Noah Galloway,3,29.64
20,Noah Galloway,4,30.92
20,Noah Galloway,5,32.29
20,Noah Galloway,6,33.76
20,Noah Galloway,7,35.42
20,Noah Galloway,8,37.28
20,Noah Galloway,9,41.87
20,Noah Galloway,10,44.4
20,Patti LaBelle,1,2.67
20,Patti LaBelle,2,2.4
20,Patti LaBelle,3,2.13
20,Patti LaBelle,4,1.82
20,Patti LaBelle,5,1.49
20,Patti LaBelle,6,1.11
20,Redfoo,1,0.14
20,Redfoo,2,0.11
20,Riker Lynch,1,19.28
20,Riker Lynch,2,19.64
20,Riker Lynch,3,20.03
20,Riker Lynch,4,20.47
20,Riker Lynch,5,20.92
20,Riker Lynch,6,21.5
20,Riker Lynch,7,22.18
20,Riker Lynch,8,22.84
20,Riker Lynch,9,25.81
20,Riker Lynch,10,27.37
20,Robert Herjavec,1,8.66
20,Robert Herjavec,2,8.4
20,Robert Herjavec,3,8.1
20,Robert Herjavec,4,7.83
20,Robert Herjavec,5,7.52
20,Robert Herjavec,6,7.01
20,Robert Herjavec,7,6.35
20,Robert Herjavec,8,5.38
20,Rumer Willis,1,19.7
20,Rumer Willis,2,20.06
20,Rumer Willis,3,20.51
20,Rumer Willis,4,20.96
20,Rumer Willis,5,21.48
20,Rumer Willis,6,22.1
20,Rumer Willis,7,22.8
20,Rumer Willis,8,23.45
20,Rumer Willis,9,26.65
20,Rumer Willis,10,28.24
20,Suzanne Somers,1,1.64
20,Suzanne Somers,2,1.43
20,Suzanne Somers,3,1.22
20,Suzanne Somers,4,0.99
20,Suzanne Somers,5,0.74
20,Willow Shields,1,2.26
20,Willow Shields,2,2.02
20,Willow Shields,3,1.77
20,Willow Shields,4,1.56
20,Willow Shields,5,1.34
20,Willow Shields,6,1.12
20,Willow Shields,7,0.85
21,Alek Skarlatos,1,25.54
21,Alek Skarlatos,2,27.01
21,Alek Skarlatos,3,29.17
21,Alek Skarlatos,4,30.81
21,Alek Skarlatos,5,32.58
21,Alek Skarlatos,6,33.97
21,Alek Skarlatos,7,35.52
21,Alek Skarlatos,8,36.84
21,Alek Skarlatos,9,38.08
21,Alek Skarlatos,10,40.49
21,Alek Skarlatos,11,40.61
21,Alexa PenaVega,1,6.41
21,Alexa PenaVega,2,6.11
21,Alexa PenaVega,3,5.86
21,Alexa PenaVega,4,5.41
21,Alexa PenaVega,5,4.94
21,Alexa PenaVega,6,4.36
21,Alexa PenaVega,7,3.8
21,Alexa PenaVega,8,3.09
21,Alexa PenaVega,9,2.4
21,Andy Grammer,1,4.97
21,Andy Grammer,2,4.62
21,Andy Grammer,3,4.24
21,Andy Grammer,4,3.74
21,Andy Grammer,5,3.27
21,Andy Grammer,6,2.76
21,Andy Grammer,7,2.37
21,Andy Grammer,8,1.87
21,Bindi Irwin,1,18.86
21,Bindi Irwin,2,19.49
21,Bindi Irwin,3,20.81
21,Bindi Irwin,4,21.36
21,Bindi Irwin,5,22.38
21,Bindi Irwin,6,22.68
21,Bindi Irwin,7,23.61
21,Bindi Irwin,8,24.01
21,Bindi Irwin,9,24.61
21,Bindi Irwin,10,26.19
21,Bindi Irwin,11,26.32
21,Carlos PenaVega,1,0.41
21,Carlos PenaVega,2,0.7
21,Carlos PenaVega,3,0.97
21,Carlos PenaVega,4,1.3
21,Carlos PenaVega,5,1.68
21,Carlos PenaVega,6,2.11
21,Carlos PenaVega,7,2.65
21,Carlos PenaVega,8,3.1
21,Carlos PenaVega,9,3.48
21,Carlos PenaVega,10,3.36
21,Carlos PenaVega,11,3.05
21,Chaka Khan,1,1.51
21,Chaka Khan,2,1.14
21,Gary Busey,1,4.03
21,Gary Busey,2,3.52
21,Gary Busey,3,2.73
21,Gary Busey,4,2.02
21,Hayes Grier,1,3.04
21,Hayes Grier,2,2.71
21,Hayes Grier,3,2.31
21,Hayes Grier,4,1.9
21,Hayes Grier,5,1.54
21,Hayes Grier,6,1.21
21,Hayes Grier,7,0.9
21,Kim Zolciak-Biermann,1,1.08
21,Kim Zolciak-Biermann,2,0.78
21,Nick Carter,1,20.79
21,Nick Carter,2,21.61
21,Nick Carter,3,23.2
21,Nick Carter,4,23.91
21,Nick Carter,5,25.18
21,Nick Carter,6,25.62
21,Nick Carter,7,26.81
21,Nick Carter,8,27.31
21,Nick Carter,9,28.24
21,Nick Carter,10,29.95
21,Nick Carter,11,30.02
21,Paula Deen,1,6.07
21,Paula Deen,2,5.56
21,Paula Deen,3,4.87
21,Paula Deen,4,4.12
21,Paula Deen,5,3.33
21,Paula Deen,6,2.61
21,Tamar Braxton,1,6.31
21,Tamar Braxton,2,6.04
21,Tamar Braxton,3,5.84
21,Tamar Braxton,4,5.44
21,Tamar Braxton,5,5.11
21,Tamar Braxton,6,4.66
21,Tamar Braxton,7,4.33
21,Tamar Braxton,8,3.77
21,Tamar Braxton,9,3.18
21,Victor Espinoza,1,0.98
21,Victor Espinoza,2,0.72
22,Antonio Brown,1,9.55
22,Antonio Brown,2,9.29
22,Antonio Brown,3,9.06
22,Antonio Brown,4,8.76
22,Antonio Brown,5,8.46
22,Antonio Brown,6,8.11
22,Antonio Brown,7,7.82
22,Antonio Brown,8,7.29
22,Antonio Brown,9,6.34
22,Doug Flutie,1,2.67
22,Doug Flutie,2,2.4
22,Doug Flutie,3,2.16
22,Doug Flutie,4,1.88
22,Doug Flutie,5,1.46
22,Doug Flutie,6,1.13
22,Geraldo Rivera,1,0.68
22,Geraldo Rivera,2,0.56
22,Ginger Zee,1,24.87
22,Ginger Zee,2,25.7
22,Ginger Zee,3,26.63
22,Ginger Zee,4,27.54
22,Ginger Zee,5,28.44
22,Ginger Zee,6,29.17
22,Ginger Zee,7,30.12
22,Ginger Zee,8,31.35
22,Ginger Zee,9,32.78
22,Ginger Zee,10,36.79
22,Jodie Sweetin,1,3.61
22,Jodie Sweetin,2,3.3
22,Jodie Sweetin,3,3.03
22,Jodie Sweetin,4,2.75
22,Jodie Sweetin,5,2.4
22,Jodie Sweetin,6,2.07
22,Jodie Sweetin,7,1.76
22,Jodie Sweetin,8,1.26
22,Kim Fields,1,2.17
22,Kim Fields,2,1.92
22,Kim Fields,3,1.7
22,Kim Fields,4,1.47
22,Kim Fields,5,1.25
22,Kim Fields,6,1.06
22,Kim Fields,7,0.85
22,Marla Maples,1,0.75
22,Marla Maples,2,0.63
22,Marla Maples,3,0.51
22,Marla Maples,4,0.39
22,Mischa Barton,1,0.85
22,Mischa Barton,2,0.71
22,Mischa Barton,3,0.56
22,Nyle DiMarco,1,23.39
22,Nyle DiMarco,2,24.07
22,Nyle DiMarco,3,24.85
22,Nyle DiMarco,4,25.63
22,Nyle DiMarco,5,26.39
22,Nyle DiMarco,6,26.98
22,Nyle DiMarco,7,27.81
22,Nyle DiMarco,8,28.9
22,Nyle DiMarco,9,30.03
22,Nyle DiMarco,10,33.7
22,Paige VanZant,1,21.52
22,Paige VanZant,2,22.04
22,Paige VanZant,3,22.64
22,Paige VanZant,4,23.23
22,Paige VanZant,5,23.79
22,Paige VanZant,6,24.2
22,Paige VanZant,7,24.85
22,Paige VanZant,8,25.66
22,Paige VanZant,9,26.29
22,Paige VanZant,10,29.51
22,Von Miller,1,2.3
