season,week,celebrity,judge_score_total,eliminated_flag
11,5,Kyle Massey,20.0,0
11,5,Rick Fox,24.0,0
11,6,Audrina Patridge,31.9998,1
11,6,Brandy,35.9999,0
11,6,Bristol Palin,27.9998,0
11,6,Jennifer Grey,29.0,0
11,6,Kurt Warner,21.9999,0
11,6,Kyle Massey,29.999899999999997,0
11,6,Rick Fox,30.0,0
11,7,Brandy,36.5,0
11,7,Bristol Palin,32.5,0
11,7,Jennifer Grey,36.5,0
11,7,Kurt Warner,35.0,0
11,7,Kyle Massey,33.5,0
11,7,Rick Fox,34.5,1
11,8,Brandy,28.5,0
11,8,Bristol Palin,23.5,0
11,8,Jennifer Grey,28.5,0
11,8,Kurt Warner,24.0,1
11,8,Kyle Massey,28.0,0
11,9,Brandy,28.5,1
11,9,Bristol Palin,26.5,0
11,9,Jennifer Grey,30.0,0
11,9,Kyle Massey,29.0,0
11,10,Bristol Palin,25.666600000000003,1
11,10,Jennifer Grey,30.0,1
11,10,Kyle Massey,27.333199999999998,1
12,1,Chelsea Kane,21.0,0
12,1,Chris Jericho,19.0,0
12,1,Hines Ward,21.0,0
12,1,Kendra Wilkinson,18.0,0
12,1,Kirstie Alley,23.0,0
12,1,Mike Catherwood,13.0,0
12,1,Petra Nemcova,18.0,0
12,1,Ralph Macchio,24.0,0
12,1,Romeo,19.0,0
12,1,Sugar Ray Leonard,17.0,0
12,1,Wendy Williams,14.0,0
12,2,Chelsea Kane,18.0,0
12,2,Chris Jericho,23.0,0
12,2,Hines Ward,23.0,0
12,2,Kendra Wilkinson,19.0,0
12,2,Kirstie Alley,20.0,0
12,2,Mike Catherwood,17.0,1
12,2,Petra Nemcova,18.0,0
12,2,Ralph Macchio,21.0,0
12,2,Romeo,23.0,0
12,2,Sugar Ray Leonard,17.0,0
12,2,Wendy Williams,17.0,0
12,3,Chelsea Kane,23.0,0
12,3,Chris Jericho,21.0,0
12,3,Hines Ward,25.0,0
12,3,Kendra Wilkinson,23.0,0
12,3,Kirstie Alley,21.0,0
12,3,Petra Nemcova,25.0,0
12,3,Ralph Macchio,21.0,0
12,3,Romeo,20.0,0
12,3,Sugar Ray Leonard,20.0,0
12,3,Wendy Williams,15.0,1
12,4,Chelsea Kane,26.0,0
12,4,Chris Jericho,23.0,0
12,4,Hines Ward,25.0,0
12,4,Kendra Wilkinson,18.0,0
12,4,Kirstie Alley,22.0,0
12,4,Petra Nemcova,23.0,0
12,4,Ralph Macchio,25.0,0
12,4,Romeo,23.0,0
12,4,Sugar Ray Leonard,21.0,1
12,5,Chelsea Kane,26.0,0
12,5,Chris Jericho,26.0,0
12,5,Hines Ward,27.0,0
12,5,Kendra Wilkinson,22.0,0
12,5,Kirstie Alley,23.0,0
12,5,Petra Nemcova,22.0,1
12,5,Ralph Macchio,22.0,0
12,5,Romeo,26.0,0
12,6,Chelsea Kane,28.0,0
12,6,Chris Jericho,22.0,1
12,6,Hines Ward,27.0,0
12,6,Kendra Wilkinson,25.0,0
12,6,Kirstie Alley,26.0,0
12,6,Ralph Macchio,24.0,0
12,6,Romeo,28.0,0
12,7,Chelsea Kane,32.0,0
12,7,Hines Ward,33.0,0
12,7,Kendra Wilkinson,30.5,1
12,7,Kirstie Alley,30.0,0
12,7,Ralph Macchio,33.0,0
12,7,Romeo,30.0,0
12,8,Chelsea Kane,27.5,0
12,8,Hines Ward,27.0,0
12,8,Kirstie Alley,26.5,0
12,8,Ralph Macchio,23.0,0
12,8,Romeo,26.0,1
12,9,Chelsea Kane,36.5,0
12,9,Hines Ward,30.0,0
12,9,Kirstie Alley,27.0,0
12,9,Ralph Macchio,24.0,1
12,10,Chelsea Kane,29.666600000000003,1
12,10,Hines Ward,29.666600000000003,1
12,10,Kirstie Alley,27.999899999999997,1
13,1,Carson Kressley,17.0,0
13,1,Chaz Bono,17.0,0
13,1,Chynna Phillips,22.0,0
13,1,David Arquette,18.0,0
13,1,Elisabetta Canalis,15.0,0
13,1,Hope Solo,21.0,0
13,1,J.R. Martinez,22.0,0
13,1,Kristin Cavallari,19.0,0
13,1,Metta World Peace (Ron),14.0,1
13,1,Nancy Grace,16.0,0
13,1,Ricki Lake,20.0,0
13,1,Rob Kardashian,16.0,0
13,2,Carson Kressley,18.0,0
13,2,Chaz Bono,17.0,0
13,2,Chynna Phillips,21.0,0
13,2,David Arquette,18.0,0
13,2,Elisabetta Canalis,21.0,1
13,2,Hope Solo,19.0,0
13,2,J.R. Martinez,22.0,0
13,2,Kristin Cavallari,22.0,0
13,2,Nancy Grace,21.0,0
13,2,Ricki Lake,23.0,0
13,2,Rob Kardashian,21.0,0
13,3,Carson Kressley,23.0,0
13,3,Chaz Bono,18.0,0
13,3,Chynna Phillips,26.0,0
13,3,David Arquette,24.0,0
13,3,Hope Solo,24.0,0
13,3,J.R. Martinez,26.0,0
13,3,Kristin Cavallari,24.0,1
13,3,Nancy Grace,21.0,0
13,3,Ricki Lake,27.0,0
13,3,Rob Kardashian,24.0,0
13,4,Carson Kressley,20.0,0
13,4,Chaz Bono,21.0,0
13,4,Chynna Phillips,21.0,1
13,4,David Arquette,23.0,0
13,4,Hope Solo,24.0,0
13,4,J.R. Martinez,26.0,0
13,4,Nancy Grace,21.0,0
13,4,Ricki Lake,29.0,0
13,4,Rob Kardashian,24.0,0
13,5,Carson Kressley,19.0,1
13,5,Chaz Bono,21.0,0
13,5,David Arquette,25.0,0
13,5,Hope Solo,24.0,0
13,5,J.R. Martinez,28.0,0
13,5,Nancy Grace,22.0,0
13,5,Ricki Lake,24.0,0
13,5,Rob Kardashian,25.0,0
13,6,Chaz Bono,19.0,1
13,6,David Arquette,23.0,0
13,6,Hope Solo,20.0,0
13,6,J.R. Martinez,29.0,0
13,6,Nancy Grace,24.0,0
13,6,Ricki Lake,29.0,0
13,6,Rob Kardashian,22.0,0
13,7,David Arquette,23.5,1
13,7,Hope Solo,25.0,0
13,7,J.R. Martinez,24.0,0
13,7,Nancy Grace,22.0,0
13,7,Ricki Lake,26.5,0
13,7,Rob Kardashian,25.5,0
13,8,Hope Solo,26.0,0
13,8,J.R. Martinez,30.0,0
13,8,Nancy Grace,22.0,1
13,8,Ricki Lake,26.0,0
13,8,Rob Kardashian,25.5,0
13,9,Hope Solo,24.4998,1
13,9,J.R. Martinez,28.0,0
13,9,Ricki Lake,33.4999,0
13,9,Rob Kardashian,32.4998,0
13,10,J.R. Martinez,28.1665,1
13,10,Ricki Lake,27.999899999999997,1
13,10,Rob Kardashian,28.333199999999998,1
14,1,Donald Driver,21.0,0
14,1,Gavin DeGraw,20.0,0
14,1,Gladys Knight,23.0,0
14,1,Jack Wagner,23.0,0
14,1,Jaleel White,26.0,0
14,1,Katherine Jenkins,26.0,0
14,1,Maria Menounos,21.0,0
14,1,Martina Navratilova,20.0,0
14,1,Melissa Gilbert,20.0,0
14,1,Roshon Fegan,23.0,0
14,1,Sherri Sheperd,23.0,0
14,1,William Levy,24.0,0
14,2,Donald Driver,24.0,0
14,2,Gavin DeGraw,21.0,0
14,2,Gladys Knight,19.0,0
14,2,Jack Wagner,21.0,0
14,2,Jaleel White,22.0,0
14,2,Katherine Jenkins,26.0,0
14,2,Maria Menounos,25.0,0
14,2,Martina Navratilova,17.0,1
14,2,Melissa Gilbert,20.0,0
14,2,Roshon Fegan,26.0,0
14,2,Sherri Sheperd,23.0,0
14,2,William Levy,25.0,0
14,3,Donald Driver,26.0,0
14,3,Gavin DeGraw,24.0,0
14,3,Gladys Knight,24.0,0
14,3,Jack Wagner,24.0,1
14,3,Jaleel White,25.0,0
14,3,Katherine Jenkins,29.0,0
14,3,Maria Menounos,27.0,0
14,3,Melissa Gilbert,24.0,0
14,3,Roshon Fegan,25.0,0
14,3,Sherri Sheperd,24.0,0
14,3,William Levy,28.0,0
14,4,Donald Driver,27.0,0
14,4,Gavin DeGraw,23.0,0
14,4,Gladys Knight,20.0,0
14,4,Jaleel White,22.0,0
14,4,Katherine Jenkins,24.0,0
14,4,Maria Menounos,26.0,0
14,4,Melissa Gilbert,22.0,0
14,4,Roshon Fegan,26.0,0
14,4,Sherri Sheperd,21.0,1
14,4,William Levy,22.0,0
14,5,Donald Driver,27.0,0
14,5,Gavin DeGraw,19.0,1
14,5,Gladys Knight,22.0,0
14,5,Jaleel White,24.0,0
14,5,Katherine Jenkins,29.0,0
14,5,Maria Menounos,27.0,0
14,5,Melissa Gilbert,21.0,0
14,5,Roshon Fegan,26.0,0
14,5,William Levy,29.0,0
14,6,Donald Driver,33.9999,0
14,6,Gladys Knight,24.0,1
14,6,Jaleel White,36.9998,0
14,6,Katherine Jenkins,38.9999,0
14,6,Maria Menounos,29.999899999999997,0
14,6,Melissa Gilbert,30.0,0
14,6,Roshon Fegan,27.9998,0
14,6,William Levy,36.0,0
14,7,Donald Driver,26.5,0
14,7,Jaleel White,25.5,1
14,7,Katherine Jenkins,27.0,0
14,7,Maria Menounos,28.5,0
14,7,Melissa Gilbert,23.5,0
14,7,Roshon Fegan,26.0,0
14,7,William Levy,26.5,0
14,8,Donald Driver,27.5,0
14,8,Katherine Jenkins,27.5,0
14,8,Maria Menounos,26.5,0
14,8,Melissa Gilbert,25.5,1
14,8,Roshon Fegan,28.0,1
14,8,William Levy,28.5,0
14,9,Donald Driver,28.5,0
14,9,Katherine Jenkins,28.0,0
14,9,Maria Menounos,29.5,1
14,9,William Levy,29.0,0
14,10,Donald Driver,29.666600000000003,1
14,10,Katherine Jenkins,30.0,1
14,10,William Levy,29.666600000000003,1
15,1,Apolo Anton Ohno,22.0,0
15,1,Bristol Palin,19.5,0
15,1,Drew Lachey,21.5,0
15,1,Emmitt Smith,24.5,0
15,1,Gilles Marini,24.0,0
15,1,Helio Castroneves,21.5,0
15,1,Joey Fatone,20.5,0
15,1,Kelly Monaco,21.5,0
15,1,Kirstie Alley,19.0,0
15,1,Melissa Rycroft,21.0,0
15,1,Pamela Anderson,17.0,1
15,1,Sabrina Bryan,22.5,0
15,1,Shawn Johnson,22.0,0
15,2,Apolo Anton Ohno,24.5,0
15,2,Bristol Palin,18.0,0
15,2,Drew Lachey,22.5,0
15,2,Emmitt Smith,22.5,0
15,2,Gilles Marini,25.5,0
15,2,Helio Castroneves,23.0,0
15,2,Joey Fatone,22.5,1
15,2,Kelly Monaco,22.0,0
15,2,Kirstie Alley,21.0,0
15,2,Melissa Rycroft,23.5,0
15,2,Sabrina Bryan,26.0,0
15,2,Shawn Johnson,25.0,0
15,3,Apolo Anton Ohno,25.5,0
15,3,Bristol Palin,22.5,0
15,3,Drew Lachey,24.0,1
15,3,Emmitt Smith,25.0,0
15,3,Gilles Marini,25.5,0
15,3,Helio Castroneves,25.5,1
15,3,Kelly Monaco,27.0,0
15,3,Kirstie Alley,24.0,0
15,3,Melissa Rycroft,27.0,0
15,3,Sabrina Bryan,25.5,0
15,3,Shawn Johnson,26.5,0
15,4,Apolo Anton Ohno,34.5,0
15,4,Bristol Palin,32.0,1
15,4,Emmitt Smith,36.0,0
15,4,Gilles Marini,39.5,0
15,4,Kelly Monaco,37.5,0
15,4,Kirstie Alley,30.0,0
15,4,Melissa Rycroft,37.0,0
15,4,Sabrina Bryan,35.5,0
15,4,Shawn Johnson,39.5,0
15,5,Apolo Anton Ohno,28.25,0
15,5,Emmitt Smith,28.0,0
15,5,Gilles Marini,28.25,0
15,5,Kelly Monaco,25.75,0
15,5,Kirstie Alley,26.25,0
15,5,Melissa Rycroft,28.25,0
15,5,Sabrina Bryan,29.25,0
15,5,Shawn Johnson,28.25,0
15,6,Apolo Anton Ohno,30.0,0
15,6,Emmitt Smith,26.5,0
15,6,Gilles Marini,27.5,0
15,6,Kelly Monaco,27.0,0
15,6,Kirstie Alley,27.5,0
15,6,Melissa Rycroft,29.5,0
15,6,Sabrina Bryan,30.0,1
15,6,Shawn Johnson,28.0,0
15,7,Apolo Anton Ohno,33.0,0
15,7,Emmitt Smith,34.4999,0
15,7,Gilles Marini,33.4998,0
15,7,Kelly Monaco,36.0,0
15,7,Kirstie Alley,27.999899999999997,0
15,7,Melissa Rycroft,38.9999,0
15,7,Shawn Johnson,37.9998,0
15,8,Apolo Anton Ohno,29.2777,0
15,8,Emmitt Smith,29.0554,0
15,8,Gilles Marini,29.2777,1
15,8,Kelly Monaco,28.3333,0
15,8,Kirstie Alley,25.5,1
15,8,Melissa Rycroft,30.0,0
15,8,Shawn Johnson,27.8333,0
15,9,Apolo Anton Ohno,28.611,1
15,9,Emmitt Smith,27.0,1
15,9,Kelly Monaco,27.110999999999997,0
15,9,Melissa Rycroft,28.7777,0
15,9,Shawn Johnson,29.5,0
15,10,Kelly Monaco,29.1109,1
15,10,Melissa Rycroft,29.333099999999998,1
15,10,Shawn Johnson,28.944300000000002,1
16,1,Alexandra Raisman,21.0,1
16,1,Andy Dick,17.0,0
16,1,D. L. Hughley,12.0,0
16,1,Dorothy Hamill,21.0,0
16,1,Ingo Rademacher,20.0,0
16,1,Jacoby Jones,20.0,0
16,1,Kellie Pickler,21.0,0
16,1,Lisa Vanderpump,18.0,0
16,1,Sean Lowe,19.0,0
16,1,Victor Ortiz,18.0,0
16,1,Wynonna Judd,18.0,0
16,1,Zendaya,24.0,0
16,2,Alexandra Raisman,24.0,0
16,2,Andy Dick,20.0,0
16,2,D. L. Hughley,16.0,0
16,2,Dorothy Hamill,15.0,1
16,2,Ingo Rademacher,20.0,0
16,2,Jacoby Jones,23.0,0
16,2,Kellie Pickler,26.0,0
16,2,Lisa Vanderpump,18.0,0
16,2,Sean Lowe,20.0,0
16,2,Victor Ortiz,18.0,0
16,2,Wynonna Judd,18.0,0
16,2,Zendaya,26.0,0
16,3,Alexandra Raisman,23.0,0
16,3,Andy Dick,18.0,0
16,3,D. L. Hughley,16.0,0
16,3,Ingo Rademacher,21.0,0
16,3,Jacoby Jones,25.9998,0
16,3,Kellie Pickler,25.0,0
16,3,Lisa Vanderpump,21.0,0
16,3,Sean Lowe,21.0,0
16,3,Victor Ortiz,23.0,0
16,3,Wynonna Judd,15.0,1
16,3,Zendaya,25.9998,0
16,4,Alexandra Raisman,27.0,0
16,4,Andy Dick,21.0,0
16,4,D. L. Hughley,21.0,0
16,4,Ingo Rademacher,23.0,0
16,4,Jacoby Jones,24.0,0
16,4,Kellie Pickler,26.0,0
16,4,Lisa Vanderpump,18.0,1
16,4,Sean Lowe,20.0,0
16,4,Victor Ortiz,18.0,0
16,4,Zendaya,26.0,0
16,5,Alexandra Raisman,25.0,0
16,5,Andy Dick,18.0,0
16,5,D. L. Hughley,18.0,1
16,5,Ingo Rademacher,21.0,0
16,5,Jacoby Jones,26.0,0
16,5,Kellie Pickler,27.0,0
16,5,Sean Lowe,24.0,0
16,5,Victor Ortiz,21.0,0
16,5,Zendaya,29.0,0
16,6,Alexandra Raisman,26.0,0
16,6,Andy Dick,21.5,0
16,6,Ingo Rademacher,23.0,0
16,6,Jacoby Jones,22.5,0
16,6,Kellie Pickler,27.0,0
16,6,Sean Lowe,23.0,0
16,6,Victor Ortiz,20.0,1
16,6,Zendaya,25.5,0
16,7,Alexandra Raisman,32.0,0
16,7,Andy Dick,17.0,1
16,7,Ingo Rademacher,25.0,0
16,7,Jacoby Jones,27.0,0
16,7,Kellie Pickler,29.0,0
16,7,Sean Lowe,24.0,0
16,7,Zendaya,30.0,0
16,8,Alexandra Raisman,28.0,0
16,8,Ingo Rademacher,24.0,0
16,8,Jacoby Jones,26.0,0
16,8,Kellie Pickler,27.5,0
16,8,Sean Lowe,21.0,1
16,8,Zendaya,29.0,0
16,9,Alexandra Raisman,29.5,0
16,9,Ingo Rademacher,25.5,1
16,9,Jacoby Jones,29.5,0
16,9,Kellie Pickler,29.0,0
16,9,Zendaya,27.5,0
16,10,Alexandra Raisman,29.0,1
16,10,Jacoby Jones,27.999899999999997,1
16,10,Kellie Pickler,30.0,1
16,10,Zendaya,30.0,1
17,1,Amber Riley,27.0,0
17,1,Bill Engvall,18.0,1
17,1,Bill Nye,14.0,0
17,1,Brant Daugherty,22.0,0
17,1,Christina Milian,22.0,0
17,1,Corbin Bleu,24.0,0
17,1,Elizabeth Berkley Lauren,24.0,0
17,1,Jack Osbourne,23.0,0
17,1,Keyshawn Johnson,17.0,0
17,1,Leah Remini,21.0,1
17,1,"Nicole ""Snooki"" Polizzi",23.0,0
17,1,Valerie Harper,21.0,0
17,2,Amber Riley,24.0,0
17,2,Bill Engvall,21.0,0
17,2,Bill Nye,17.0,0
17,2,Brant Daugherty,23.0,0
17,2,Christina Milian,25.0,0
17,2,Corbin Bleu,26.0,0
17,2,Elizabeth Berkley Lauren,25.0,0
17,2,Jack Osbourne,24.0,0
17,2,Keyshawn Johnson,18.0,1
17,2,Leah Remini,24.0,0
17,2,"Nicole ""Snooki"" Polizzi",20.0,0
17,2,Valerie Harper,19.0,0
17,3,Amber Riley,24.0,0
17,3,Bill Engvall,24.0,0
17,3,Bill Nye,16.0,1
17,3,Brant Daugherty,27.0,0
17,3,Christina Milian,26.0,0
17,3,Corbin Bleu,26.0,0
17,3,Elizabeth Berkley Lauren,25.0,0
17,3,Jack Osbourne,22.0,0
17,3,Leah Remini,24.0,0
17,3,"Nicole ""Snooki"" Polizzi",25.0,0
17,3,Valerie Harper,16.0,0
17,4,Amber Riley,27.0,0
17,4,Bill Engvall,21.0,0
17,4,Brant Daugherty,21.0,0
17,4,Christina Milian,24.0,0
17,4,Corbin Bleu,27.0,0
17,4,Elizabeth Berkley Lauren,27.0,0
17,4,Jack Osbourne,24.0,0
17,4,Leah Remini,24.0,0
17,4,"Nicole ""Snooki"" Polizzi",24.0,0
17,4,Valerie Harper,18.0,1
17,5,Amber Riley,26.0,0
17,5,Bill Engvall,24.0,0
17,5,Brant Daugherty,27.0,0
17,5,Christina Milian,28.0,1
17,5,Corbin Bleu,28.0,0
17,5,Elizabeth Berkley Lauren,26.0,0
17,5,Jack Osbourne,27.0,0
17,5,Leah Remini,22.0,0
17,5,"Nicole ""Snooki"" Polizzi",27.0,0
17,6,Amber Riley,31.999899999999997,0
17,6,Bill Engvall,23.9999,0
17,6,Brant Daugherty,31.0,0
17,6,Corbin Bleu,26.999899999999997,0
17,6,Elizabeth Berkley Lauren,31.9998,0
17,6,Jack Osbourne,26.9998,0
17,6,Leah Remini,27.999899999999997,0
17,6,"Nicole ""Snooki"" Polizzi",30.0,0
17,7,Amber Riley,29.5,0
17,7,Bill Engvall,25.0,0
17,7,Brant Daugherty,28.5,0
17,7,Corbin Bleu,29.5,0
17,7,Elizabeth Berkley Lauren,27.0,0
17,7,Jack Osbourne,28.5,0
17,7,Leah Remini,26.5,0
17,7,"Nicole ""Snooki"" Polizzi",27.0,1
17,8,Amber Riley,28.0,0
17,8,Bill Engvall,24.0,0
17,8,Brant Daugherty,27.0,1
17,8,Corbin Bleu,30.0,0
17,8,Elizabeth Berkley Lauren,25.0,0
17,8,Jack Osbourne,30.0,0
17,8,Leah Remini,28.0,0
17,9,Amber Riley,25.5,0
17,9,Bill Engvall,21.0,0
17,9,Corbin Bleu,29.0,0
17,9,Elizabeth Berkley Lauren,28.0,1
17,9,Jack Osbourne,27.0,0
17,9,Leah Remini,27.0,0
17,10,Amber Riley,39.5,0
17,10,Bill Engvall,30.0,0
17,10,Corbin Bleu,37.5,0
17,10,Jack Osbourne,35.5,0
17,10,Leah Remini,32.5,1
17,11,Amber Riley,31.333199999999998,0
17,11,Bill Engvall,25.499899999999997,1
17,11,Corbin Bleu,29.6664,0
17,11,Jack Osbourne,27.999899999999997,0
18,1,Amy Purdy,24.0,0
18,1,Billy Dee Williams,15.0,0
18,1,Candace Cameron Bure,25.0,0
18,1,Charlie White,27.0,0
18,1,Cody Simpson,22.0,0
18,1,Danica McKellar,24.0,0
18,1,Diana Nyad,18.0,1
18,1,Drew Carey,21.0,0
18,1,James Maslow,21.0,1
18,1,Meryl Davis,24.0,0
18,1,NeNe Leakes,21.0,0
18,1,Sean Avery,20.0,0
18,2,Amy Purdy,24.0,0
18,2,Billy Dee Williams,15.0,1
18,2,Candace Cameron Bure,21.0,0
18,2,Charlie White,25.0,0
18,2,Cody Simpson,22.0,0
18,2,Danica McKellar,24.0,0
18,2,Drew Carey,21.0,0
18,2,James Maslow,25.0,0
18,2,Meryl Davis,25.0,0
18,2,NeNe Leakes,21.0,0
18,2,Sean Avery,21.0,1
18,3,Amy Purdy,36.0,0
18,3,Candace Cameron Bure,32.0,0
18,3,Charlie White,36.0,0
18,3,Cody Simpson,35.0,0
18,3,Danica McKellar,36.0,0
18,3,Drew Carey,30.0,0
18,3,James Maslow,36.0,0
18,3,Meryl Davis,39.0,0
18,3,NeNe Leakes,31.0,0
18,4,Amy Purdy,34.0,0
18,4,Candace Cameron Bure,28.0,0
18,4,Charlie White,33.0,0
18,4,Cody Simpson,31.0,0
18,4,Danica McKellar,32.0,0
18,4,Drew Carey,33.0,0
18,4,James Maslow,35.0,0
18,4,Meryl Davis,39.0,0
18,4,NeNe Leakes,32.0,0
18,5,Amy Purdy,37.0,0
18,5,Candace Cameron Bure,35.0,0
18,5,Charlie White,37.0,0
18,5,Cody Simpson,34.0,1
18,5,Danica McKellar,39.0,0
18,5,Drew Carey,28.0,0
18,5,James Maslow,40.0,0
18,5,Meryl Davis,36.0,0
18,5,NeNe Leakes,36.0,0
18,6,Amy Purdy,38.0,0
18,6,Candace Cameron Bure,32.0,0
18,6,Charlie White,36.0,0
18,6,Danica McKellar,36.0,0
18,6,Drew Carey,32.0,1
18,6,James Maslow,35.0,0
18,6,Meryl Davis,40.0,0
18,6,NeNe Leakes,33.0,0
18,7,Amy Purdy,37.5,0
18,7,Candace Cameron Bure,37.0,0
18,7,Charlie White,35.5,0
18,7,Danica McKellar,36.0,0
18,7,James Maslow,35.0,0
18,7,Meryl Davis,39.0,0
18,7,NeNe Leakes,33.0,1
18,8,Amy Purdy,40.0,0
18,8,Candace Cameron Bure,36.0,0
18,8,Charlie White,40.0,0
18,8,Danica McKellar,38.0,1
18,8,James Maslow,36.0,0
18,8,Meryl Davis,36.0,0
18,9,Amy Purdy,39.0,0
18,9,Candace Cameron Bure,36.0,0
18,9,Charlie White,38.0,1
18,9,James Maslow,38.0,0
18,9,Meryl Davis,40.0,0
18,10,Amy Purdy,29.666600000000003,1
18,10,Candace Cameron Bure,25.9998,1
18,10,James Maslow,29.0,1
18,10,Meryl Davis,30.0,1
19,1,Alfonso Ribeiro,36.0,0
19,1,Antonio Sabato Jr.,25.0,0
19,1,Bethany Mota,32.0,1
19,1,Betsey Johnson,20.0,0
19,1,Janel Parrish,29.0,0
19,1,Jonathan Bennett,30.0,0
19,1,Lea Thompson,32.0,0
19,1,Lolo Jones,22.0,1
19,1,Michael Waltrip,25.0,0
19,1,Randy Couture,31.0,0
19,1,Sadie Robertson,34.0,0
19,1,Tavis Smiley,29.0,0
19,1,Tommy Chong,27.0,1
19,2,Alfonso Ribeiro,32.0,0
19,2,Antonio Sabato Jr.,31.0,0
19,2,Bethany Mota,33.0,0
19,2,Betsey Johnson,28.0,0
19,2,Janel Parrish,34.0,0
19,2,Jonathan Bennett,30.0,0
19,2,Lea Thompson,35.0,0
19,2,Michael Waltrip,24.0,0
19,2,Randy Couture,28.0,0
19,2,Sadie Robertson,31.0,0
19,2,Tavis Smiley,28.0,1
19,2,Tommy Chong,28.0,0
19,3,Alfonso Ribeiro,32.0,0
19,3,Antonio Sabato Jr.,29.0,0
19,3,Bethany Mota,40.0,0
19,3,Betsey Johnson,29.0,0
19,3,Janel Parrish,40.0,0
19,3,Jonathan Bennett,32.0,0
19,3,Lea Thompson,31.0,0
19,3,Michael Waltrip,28.0,0
19,3,Randy Couture,26.0,1
19,3,Sadie Robertson,32.0,0
19,3,Tommy Chong,34.0,0
19,4,Alfonso Ribeiro,40.0,0
19,4,Antonio Sabato Jr.,29.0,0
19,4,Bethany Mota,33.0,0
19,4,Betsey Johnson,29.0,1
19,4,Janel Parrish,36.0,0
19,4,Jonathan Bennett,24.0,0
19,4,Lea Thompson,39.0,0
19,4,Michael Waltrip,25.0,0
19,4,Sadie Robertson,37.0,0
19,4,Tommy Chong,28.0,0
19,5,Alfonso Ribeiro,34.0,0
19,5,Antonio Sabato Jr.,28.0,0
19,5,Bethany Mota,32.0,0
19,5,Janel Parrish,33.0,0
19,5,Jonathan Bennett,24.0,0
19,5,Lea Thompson,34.0,0
19,5,Michael Waltrip,20.0,0
19,5,Sadie Robertson,36.0,0
19,5,Tommy Chong,23.0,0
19,6,Alfonso Ribeiro,39.0,0
19,6,Antonio Sabato Jr.,28.0,0
19,6,Bethany Mota,36.0,0
19,6,Janel Parrish,33.0,0
19,6,Jonathan Bennett,32.0,1
19,6,Lea Thompson,32.0,0
19,6,Michael Waltrip,30.0,0
19,6,Sadie Robertson,35.0,0
19,6,Tommy Chong,28.0,0
19,7,Alfonso Ribeiro,34.0,0
19,7,Antonio Sabato Jr.,29.5,1
19,7,Bethany Mota,37.5,0
19,7,Janel Parrish,33.5,0
19,7,Lea Thompson,35.0,0
19,7,Michael Waltrip,28.0,0
19,7,Sadie Robertson,31.0,0
19,7,Tommy Chong,30.0,0
19,8,Alfonso Ribeiro,41.0,0
19,8,Bethany Mota,40.0,0
19,8,Janel Parrish,43.0,0
19,8,Lea Thompson,32.0,0
19,8,Michael Waltrip,25.0,1
19,8,Sadie Robertson,38.0,0
19,8,Tommy Chong,29.0,0
19,9,Alfonso Ribeiro,38.5,0
19,9,Bethany Mota,37.0,0
19,9,Janel Parrish,38.5,0
19,9,Lea Thompson,35.0,1
19,9,Sadie Robertson,36.5,0
19,9,Tommy Chong,28.5,0
19,10,Alfonso Ribeiro,37.5,0
19,10,Bethany Mota,38.0,0
19,10,Janel Parrish,39.0,0
19,10,Sadie Robertson,37.0,0
19,10,Tommy Chong,31.0,1
19,11,Alfonso Ribeiro,40.0,0
19,11,Bethany Mota,38.0,1
19,11,Janel Parrish,38.99980000000001,0
19,11,Sadie Robertson,39.333200000000005,0
20,1,Charlotte McKinney,22.0,0
20,1,Chris Soules,26.0,0
20,1,Michael Sam,26.0,0
20,1,Nastia Liukin,30.0,0
20,1,Noah Galloway,26.0,0
20,1,Patti LaBelle,25.0,0
20,1,Redfoo,22.0,0
20,1,Riker Lynch,31.0,0
20,1,Robert Herjavec,28.0,0
20,1,Rumer Willis,32.0,0
20,1,Suzanne Somers,25.0,0
20,1,Willow Shields,25.0,0
20,2,Charlotte McKinney,26.0,0
20,2,Chris Soules,21.0,0
20,2,Michael Sam,28.0,0
20,2,Nastia Liukin,34.0,0
20,2,Noah Galloway,27.0,0
20,2,Patti LaBelle,28.0,0
20,2,Redfoo,31.0,1
20,2,Riker Lynch,32.0,0
20,2,Robert Herjavec,28.0,0
20,2,Rumer Willis,32.0,0
20,2,Suzanne Somers,28.0,0
20,2,Willow Shields,32.0,0
20,3,Charlotte McKinney,22.0,1
20,3,Chris Soules,28.0,0
20,3,Michael Sam,24.0,0
20,3,Nastia Liukin,34.0,0
20,3,Noah Galloway,30.0,0
20,3,Patti LaBelle,22.0,0
20,3,Riker Lynch,34.0,0
20,3,Robert Herjavec,29.0,0
20,3,Rumer Willis,33.0,0
20,3,Suzanne Somers,25.0,0
20,3,Willow Shields,32.0,0
20,4,Chris Soules,27.0,0
20,4,Michael Sam,30.0,1
20,4,Nastia Liukin,36.0,0
20,4,Noah Galloway,32.0,0
20,4,Patti LaBelle,30.0,0
20,4,Riker Lynch,34.0,0
20,4,Robert Herjavec,34.0,0
20,4,Rumer Willis,35.0,0
20,4,Suzanne Somers,28.0,0
20,4,Willow Shields,39.0,0
20,5,Chris Soules,27.0,0
20,5,Nastia Liukin,38.0,0
20,5,Noah Galloway,28.0,0
20,5,Patti LaBelle,27.0,0
20,5,Riker Lynch,38.0,0
